Designator,Footprint,Quantity,Value,LCSC Part #
"BUCK_CONVERTER1, BUCK_CONVERTER2",MP1584,2,~,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
C1,C_Elec_10x10.2,1,470u/25v,
C2,CP_Radial_D30.0mm_P10.00mm_SnapIn,1,10000uF/50v,
D1,TO-220-3_Vertical,1,D_Schottky_Dual_CommonAnode_KAK_Parallel,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4729A,
"J1, J2, J3, J4",XT90,4,40V,
J10,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,SUPPLY PC,
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,12V,
J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,5V,
J13,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,SWITCH CHARGER TO PC,
J14,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,OUT_BUCK,
J15,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Switch Elmo,
J16,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,IN_24,
J17,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,DRI_2,
J18,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,24V,
J5,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,DRI_1,
"J6, J7, J8, J9",AMASS_XT60-M_1x02_P7.20mm_Vertical,4,24V,
Q1,TO-92_Inline,1,2N3904,
R1,0805,1,470,
R3,0805,1,100k,
RV1,Potentiometer_Bourns_3296W_Vertical,1,R_Potentiometer,
U1,DIP-8_W7.62mm,1,LM358,
