Designator,Mid X,Mid Y,Rotation,Layer
BUCK_CONVERTER1,210.389,-90.7815,0.0,top
BUCK_CONVERTER2,187.922,-90.7815,0.0,top
BZ1,141.51,-118.2,180.0,top
C1,169.5,-88.85,90.0,top
C2,127.25,-99.432065,90.0,top
D1,125.455,-76.39,90.0,top
D2,157.4,-96.35,0.0,top
J1,136.2,-64.749987,90.0,top
J10,166.0,-108.7,90.0,top
J11,218.005,-78.01,270.0,top
J12,218.195,-103.58,90.0,top
J13,153.4,-108.8,90.0,top
J14,159.75,-108.7,90.0,top
J15,153.12,-64.96,180.0,top
J16,209.0,-64.2,180.0,top
J17,195.6,-67.8,90.0,top
J18,172.3,-108.7,90.0,top
J2,185.149987,-70.2,180.0,top
J3,174.949987,-70.12,180.0,top
J4,164.749987,-70.12,180.0,top
J5,151.2,-76.2,0.0,top
J6,180.76,-107.65,90.0,top
J7,190.05,-107.65,90.0,top
J8,199.43,-107.65,90.0,top
J9,208.88,-107.64,90.0,top
Q1,144.5,-85.4,270.0,top
R1,158.68,-81.98,0.0,top
R3,149.2,-86.43,90.0,top
RV1,147.48,-93.56,270.0,top
U1,155.68,-88.65,0.0,top
